date;opening;max;min;close;nominalCount
2013-09-23 16:59:52;1,00;1,13;1,00;1,12;2.728.981,00;
2013-09-20 16:57:48;0,99;1,00;0,96;0,99;2.276.315,00;
2013-09-19 17:00:01;0,91;0,94;0,91;0,94;1.424.193,00;
2013-09-18 17:01:01;0,93;0,93;0,89;0,91;2.228.509,00;
2013-09-17 16:59:58;0,89;0,93;0,88;0,90;2.232.338,00;
2013-09-16 16:59:59;0,80;0,89;0,80;0,88;2.671.944,00;
2013-09-13 16:54:52;0,77;0,79;0,77;0,79;621.311,00;
2013-09-12 16:56:00;0,79;0,82;0,77;0,77;698.183,00;
2013-09-11 16:59:04;0,81;0,82;0,75;0,80;1.193.713,00;
2013-09-10 16:59:55;0,83;0,86;0,80;0,81;1.467.818,00;
2013-09-09 16:59:14;0,78;0,81;0,78;0,81;990.089,00;
2013-09-06 16:55:10;0,75;0,79;0,74;0,77;652.042,00;
2013-09-05 16:57:40;0,72;0,75;0,71;0,75;585.602,00;
2013-09-04 17:00:02;0,73;0,73;0,72;0,72;327.253,00;
2013-09-03 17:00:13;0,72;0,74;0,72;0,73;566.139,00;
2013-09-02 16:59:57;0,70;0,72;0,70;0,72;278.128,00;
2013-08-30 16:27:37;0,71;0,72;0,70;0,70;477.874,00;
2013-08-29 16:56:14;0,72;0,72;0,71;0,71;389.301,00;
2013-08-28 15:31:09;0,71;0,75;0,71;0,73;444.826,00;
2013-08-27 16:55:39;0,72;0,72;0,70;0,71;175.339,00;
2013-08-26 16:54:12;0,74;0,74;0,73;0,73;319.610,00;
2013-08-23 16:35:10;0,71;0,74;0,71;0,72;462.110,00;
2013-08-22 16:53:05;0,69;0,70;0,69;0,70;330.540,00;
2013-08-21 16:52:28;0,71;0,72;0,70;0,70;246.225,00;
2013-08-20 16:59:45;0,71;0,72;0,70;0,71;257.735,00;
2013-08-16 16:52:26;0,74;0,74;0,72;0,72;146.399,00;
2013-08-15 16:54:32;0,73;0,76;0,73;0,74;713.230,00;
2013-08-14 17:00:04;0,71;0,74;0,71;0,73;752.518,00;
2013-08-13 16:51:54;0,71;0,71;0,70;0,71;122.125,00;
2013-08-12 16:50:15;0,70;0,72;0,70;0,70;306.040,00;
2013-08-09 16:44:31;0,70;0,70;0,69;0,69;420.116,00;
2013-08-08 16:58:12;0,70;0,71;0,69;0,69;176.796,00;
2013-08-07 16:57:10;0,70;0,71;0,70;0,70;147.058,00;
2013-08-06 16:49:21;0,70;0,71;0,69;0,71;110.740,00;
2013-08-05 15:38:08;0,72;0,73;0,72;0,72;271.645,00;
2013-08-02 16:59:48;0,69;0,72;0,69;0,72;260.704,00;
2013-08-01 16:58:52;0,68;0,69;0,68;0,68;110.933,00;
2013-07-31 16:55:06;0,68;0,69;0,68;0,69;415.632,00;
2013-07-30 16:42:27;0,67;0,67;0,65;0,65;266.495,00;
2013-07-29 16:55:30;0,69;0,69;0,67;0,67;111.236,00;
2013-07-26 16:53:47;0,65;0,69;0,65;0,68;307.471,00;
2013-07-25 16:30:21;0,65;0,65;0,65;0,65;94.797,00;
2013-07-24 16:59:55;0,67;0,67;0,65;0,65;282.939,00;
2013-07-23 16:45:55;0,68;0,68;0,66;0,67;247.600,00;
2013-07-22 16:50:21;0,67;0,68;0,66;0,67;211.211,00;
2013-07-19 16:15:26;0,65;0,65;0,65;0,65;66.481,00;
2013-07-18 16:43:15;0,65;0,67;0,62;0,65;247.667,00;
2013-07-17 16:56:51;0,67;0,68;0,65;0,66;327.275,00;
2013-07-16 16:59:39;0,66;0,67;0,66;0,67;137.850,00;
2013-07-15 15:46:00;0,66;0,67;0,65;0,66;155.105,00;
2013-07-12 16:50:22;0,67;0,67;0,65;0,66;247.708,00;
2013-07-11 16:51:17;0,66;0,68;0,66;0,68;312.779,00;
